HVAC,Light,Appliance,Misc.,Outdoor equipment
735523.3546,8479.405204,333360.8297,134298.0834,31755.105
735225.8948,8479.405204,333360.8297,134298.0834,31755.105
735961.7861,8479.405204,333360.8297,134298.0834,31755.105
736699.5241,8479.405204,333360.8297,134298.0834,31755.105
737443.7599,8479.405204,333360.8297,134298.0834,31755.105
738196.4679,8479.405204,333360.8297,134298.0834,31755.105
738963.6455,8479.405204,333360.8297,134298.0834,31755.105
739747.5168,8479.405204,333360.8297,134298.0834,31755.105
740549.8753,8479.405204,333360.8297,134298.0834,31755.105
741367.9848,8479.405204,333360.8297,134298.0834,31755.105
742202.8514,8479.405204,333360.8297,134298.0834,31755.105
743052.0676,8479.405204,333360.8297,134298.0834,31755.105
743918.7313,8479.405204,333360.8297,134298.0834,31755.105
744799.5155,8479.405204,333360.8297,134298.0834,31755.105
745694.8789,8479.405204,333360.8297,134298.0834,31755.105
746597.581,8479.405204,333360.8297,134298.0834,31755.105
747515.9844,8479.405204,333360.8297,134298.0834,31755.105
748447.4005,8479.405204,333360.8297,134298.0834,31755.105
749390.6031,8479.405204,333360.8297,134298.0834,31755.105
750345.5014,8479.405204,333360.8297,134298.0834,31755.105
751311.4096,8479.405204,333360.8297,134298.0834,31755.105
752291.4093,8479.405204,333360.8297,134298.0834,31755.105
753275.978,8479.405204,333360.8297,134298.0834,31755.105
754266.4675,8479.405204,333360.8297,134298.0834,31755.105
755264.8443,8479.405204,333360.8297,134298.0834,31755.105
756268.5779,8479.405204,333360.8297,134298.0834,31755.105
757278.4929,8479.405204,333360.8297,134298.0834,31755.105
758293.3755,8479.405204,333360.8297,134298.0834,31755.105
759313.1811,8479.405204,333360.8297,134298.0834,31755.105
760335.9983,8479.405204,333360.8297,134298.0834,31755.105
761362.574,8479.405204,333360.8297,134298.0834,31755.105
762391.7638,8479.405204,333360.8297,134298.0834,31755.105
763423.9188,8479.405204,333360.8297,134298.0834,31755.105
764457.2697,8479.405204,333360.8297,134298.0834,31755.105
765492.4274,8479.405204,333360.8297,134298.0834,31755.105
