HVAC,Light,Appliance,Misc.,Outdoor equipment
641271.1271,7207.494424,283356.7052,108495.2776,26991.83925
641711.5698,7207.494424,283356.7052,108495.2776,26991.83925
641595.951,7207.494424,283356.7052,108495.2776,26991.83925
641579.8353,7207.494424,283356.7052,108495.2776,26991.83925
641389.6715,7207.494424,283356.7052,108495.2776,26991.83925
641323.3838,7207.494424,283356.7052,108495.2776,26991.83925
641093.026,7207.494424,283356.7052,108495.2776,26991.83925
641000.2658,7207.494424,283356.7052,108495.2776,26991.83925
640751.2844,7207.494424,283356.7052,108495.2776,26991.83925
640619.6991,7207.494424,283356.7052,108495.2776,26991.83925
640371.2641,7207.494424,283356.7052,108495.2776,26991.83925
640053.8528,7207.494424,283356.7052,108495.2776,26991.83925
639725.5485,7207.494424,283356.7052,108495.2776,26991.83925
639389.6948,7207.494424,283356.7052,108495.2776,26991.83925
639049.4642,7207.494424,283356.7052,108495.2776,26991.83925
638706.7483,7207.494424,283356.7052,108495.2776,26991.83925
638379.5206,7207.494424,283356.7052,108495.2776,26991.83925
638139.7381,7207.494424,283356.7052,108495.2776,26991.83925
637908.4793,7207.494424,283356.7052,108495.2776,26991.83925
637675.1333,7207.494424,283356.7052,108495.2776,26991.83925
637439.9728,7207.494424,283356.7052,108495.2776,26991.83925
637197.6252,7207.494424,283356.7052,108495.2776,26991.83925
636951.4367,7207.494424,283356.7052,108495.2776,26991.83925
636703.6473,7207.494424,283356.7052,108495.2776,26991.83925
636454.4284,7207.494424,283356.7052,108495.2776,26991.83925
636200.3878,7207.494424,283356.7052,108495.2776,26991.83925
635941.7901,7207.494424,283356.7052,108495.2776,26991.83925
635681.131,7207.494424,283356.7052,108495.2776,26991.83925
635419.0417,7207.494424,283356.7052,108495.2776,26991.83925
635152.5469,7207.494424,283356.7052,108495.2776,26991.83925
634883.7184,7207.494424,283356.7052,108495.2776,26991.83925
634611.7369,7207.494424,283356.7052,108495.2776,26991.83925
634337.8376,7207.494424,283356.7052,108495.2776,26991.83925
634059.8268,7207.494424,283356.7052,108495.2776,26991.83925
633779.473,7207.494424,283356.7052,108495.2776,26991.83925
633497.9569,7207.494424,283356.7052,108495.2776,26991.83925
633234.3001,7207.494424,283356.7052,108495.2776,26991.83925
632969.1731,7207.494424,283356.7052,108495.2776,26991.83925
