stu,A,E,E,E,A,A,E,E,A,A,R,R,R,A,A,R,A,A,E,E,R
1,20,,21.25,,25,20,,20,,23.75,,23.75,21.25,,,25,22.5,25,20,,25
2,20,,17.5,,23.75,21.25,,20,18.75,21.25,,22.5,,22.5,25,22.5,22.5,20,22.5,22.5,21.25
3,22.5,25,23.75,25,25,23.75,,,,25,,25,,23.75,23.75,,23.75,25,25,25,
4,22.5,25,23.75,,25,,,21.25,25,20,25,,,,,25,25,25,22.5,25,22.5
5,21.25,18.75,16.25,,22.5,21.25,,,20,20,,,,25,25,16.25,21.25,,20,,
6,21.25,,16.25,20,18.75,20,,21.25,20,,25,,,23.75,,,18.75,20,,20,20
7,,17.5,,21.25,20,20,,,21.25,,22.5,,,23.75,,,18.75,20,,22.5,17.5
8,18.75,,16.25,25,20,16.25,,,20,21.25,22.5,,,22.5,22.5,22.5,20,20,22.5,22.5,18.75
9,22.5,,16.25,18.75,23.75,21.25,,23.75,,23.75,22.5,,,,,,,22.5,,25,17.5
10,21.25,21.25,21.25,,22.5,21.25,,20,20,22.5,,22.5,,,,22.5,20,20,,,
